episode,reward,avg_reward,step_count,reached_target,distance_to_target
155,-2.119246794768614,-4.6960296587015,250,False,0.37854365
156,-9.4149900696498,-5.74537769325413,250,False,0.41921568
157,-3.5650624328587446,-5.174683289733377,250,False,0.22243513
158,-8.161856569587204,-5.275726057380496,250,False,0.27317324
159,-4.082205774271007,-5.4469327749878484,250,False,0.47344804
160,-9.68644457549552,-5.958883130713369,250,False,0.8088654
161,-8.29982091493494,-6.600913693227627,250,False,0.76630294
162,-7.113322215527516,-6.501731688010018,250,False,0.8388998
163,-4.522714906451029,-6.6165756176598025,239,True,0.121561356
164,-8.514572743784797,-6.5480236997329175,250,False,0.37552488
165,-3.2809654566953967,-6.664195565925596,250,False,0.6450635
166,-5.997660210323271,-6.322462579992942,250,False,0.7597011
167,-14.849707738977962,-7.450927110604864,250,False,0.92719394
168,-10.051921838505447,-7.6399336374966875,250,False,0.61382043
169,-11.674232745081827,-8.39913633457777,250,False,0.9698687
170,-5.104791089763212,-7.940970986004539,250,False,0.80862784
171,-2.6429629773247987,-7.375285192243526,250,False,0.4500969
172,-11.17726216039061,-7.781679186729835,250,False,0.58321863
173,-4.638620602016333,-7.7932697562863655,250,False,1.8933127
174,-12.69943078481844,-8.21175556038973,250,False,3.7330506
175,-8.02289810228102,-8.68594882494829,250,False,1.29789
176,-5.297440031660766,-8.615926807082042,250,True,1.3297538
177,-16.403176357462332,-8.77127366893048,250,False,0.7052701
178,-12.498838418233154,-9.015965326903249,250,False,0.88112193
179,-10.54086670382132,-8.902628722777198,250,False,1.1599764
180,-12.769565717687822,-9.66910618556966,250,False,1.3118631
181,-28.389861202300345,-12.243796008067212,250,False,8.921427
182,-7.305791743659182,-11.856648966394072,250,False,1.3284054
183,-7.825856752877174,-12.175372581480154,250,False,0.7121734
184,-15.177592296625999,-12.423188732660911,250,False,0.90278286
185,-5.600781012559521,-12.180977023688762,250,False,0.5237792
186,-3.444717169089959,-11.995704737431682,250,False,0.7802379
187,-12.789419274546512,-11.634329029140098,250,False,1.1841959
188,-8.824905077282036,-11.266935695044989,250,False,1.3756008
189,-2.0963843294250606,-10.422487457605362,250,False,0.40747806
190,3.333026424633577,-8.812228243373223,240,True,0.1872572
191,-13.631155968455218,-7.336357719988709,250,False,0.92659867
192,-6.647517570405854,-7.270530302663376,250,False,0.616388
193,-8.625277305118404,-7.350472357887499,250,False,0.686434
194,-4.160716979388129,-6.248784826163711,250,False,1.0111791
195,-15.147270579948092,-7.203433782902569,250,False,1.7180774
196,-16.84260074315751,-8.543222140309322,250,False,1.4188212
197,-12.837919239332694,-8.54807213678794,250,False,1.1033826
198,-8.61637784536051,-8.527219413595791,250,False,1.2042454
199,-1.5622618053029085,-8.473807161183576,250,False,0.30294484
200,-5.980600926368308,-9.405169896283763,250,False,0.99053544
201,-6.7206638875127425,-8.714120688189515,250,False,1.2766631
202,-9.454330603219143,-8.994801991470844,250,False,1.1420044
203,-3.8551306413320625,-8.517787325092211,250,False,0.81256783
204,-13.05233171389586,-9.406948798542984,250,False,1.2531321
205,-14.766916195145756,-9.36891336006275,250,False,1.4233875
206,-11.398820333187397,-8.824535319065738,250,False,1.6926928
207,-8.109686087659917,-8.351712003898461,250,False,1.0420513
208,-1.2827560700734169,-7.6183498263697516,250,False,0.2929588
209,-11.304087629646345,-8.592532408804095,250,False,1.5681877
210,-10.699102429330493,-9.064382559100313,250,False,0.95472103
211,-5.696535509030739,-8.961969721252114,250,False,0.9707435
212,-6.857831213440678,-8.702319782274266,250,False,1.4448383
213,-12.668657708710237,-9.583672489012084,250,False,1.148728
214,-6.573327066113755,-8.935772024233874,250,False,1.161238
215,-13.329229372570465,-8.792003341976345,250,False,0.8328897
216,-14.962566823806629,-9.148377991038267,250,False,1.1516469
217,-9.40130314949256,-9.277539697221531,250,False,1.5643709
218,-12.435439580084187,-10.392808048222609,250,False,1.3491255
219,-10.970453925725689,-10.359444677830545,250,False,1.4029137
220,-17.524459289173976,-11.041980363814892,250,False,1.3533465
221,-15.381015215781387,-12.010428334489957,250,False,0.5883453
222,-7.306626842327583,-12.055307897378647,250,False,0.7648696
223,-15.693881519210937,-12.357830278428718,250,False,1.605029
224,-7.053785165992165,-12.405876088416559,250,False,1.4061139
225,-3.079006169640358,-11.380853768123547,250,False,0.58026665
226,-7.900778968379494,-10.674674982580834,250,False,1.1254781
227,-12.619753118249703,-10.996519979456549,250,False,0.6086555
228,-13.861940156449176,-11.139170037093047,250,False,1.183301
229,-12.635169922315896,-11.305641636752068,250,False,1.8827938
230,-9.66700993536002,-10.519896701370673,250,False,1.5062029
231,-6.343080058603102,-9.616103185652843,250,False,1.4215289
232,-8.353845420856643,-9.72082504350575,250,False,1.1648241
233,-3.3939815421101494,-8.490835045795672,250,False,0.725704
234,-5.98593693842576,-8.38405022303903,250,False,1.3676411
235,-2.383951717967279,-8.314544777871722,250,False,0.40998977
236,-1.6726544460854225,-7.691732325642315,250,False,0.2588372
237,-14.39256475300996,-7.86901348911834,250,False,1.5248904
238,-7.125043401020746,-7.195323813575499,250,False,0.8123571
239,-10.673577724507089,-6.999164593794617,250,False,1.4094898
240,-4.525589284072945,-6.48502252866591,250,False,0.86365044
241,-5.172890239039191,-6.3680035467095175,250,False,1.0598211
242,-5.862813949438186,-6.118900399567673,250,False,0.87089723
243,-9.97126445889613,-6.7766286912462705,250,False,1.790063
244,-4.941645262446542,-6.67219952364835,250,False,0.8852535
245,-12.22595076801011,-7.656399428652631,250,False,1.464199
246,-11.1103871410763,-8.60017269815172,250,False,1.4461262
